Model,Prompt Type,Latency (s),Output Tokens,Input Tokens,Faithfulness Score,Relevance Score,Formatting Score,Cognitive Efficiency,Output Text
Gemma 3 · 12B,Ministry Engagement,2.805,157,647,100,100,100,35.64,"The following government ministries are engaged in this topic:

*   **LAW AND JUSTICE:** Jurisdictions include Women Reservation Bill, Women Reservation, Reservation for Women in Parliament, Women Reservation Bill, Women Reservation Bill, Women Reservation Bill, Women Reservation Bill, Women Reservation Bill, Women Reservation Bill, Women Reservation, Women Reservation Bill, Women Reservation in Legislature.
*   **PANCHAYATI RAJ:** Jurisdictions include Women Reservation, Women Reservations in Panchayats, Women Reservation in Panchayats.
*   **HUMAN RESOURCE DEVELOPMENT:** Jurisdiction includes Women Reservation in Central Universities.
*   **WOMEN AND CHILD DEVELOPMENT:** Jurisdiction includes Women Reservation in Jobs.
*   **DEFENCE:** Jurisdiction includes Reservation for Women in Elections to Cantonment Boards."
Gemma 3 · 12B,Policy Gaps,1.675,96,651,100,100,100,59.69,"Policy Gaps:

Repeatedly asked questions: 
*   Women Reservation Bill
*   Women Reservation
*   Women Reservations in Panchayats
*   Women Reservation in Central Universities
*   Reservation for Women in Elections

Unresolved issues:
*   Implementation of women reservation in legislature.
*   Implementation of women reservation in jobs.
*   Reservation for women in parliament.
*   Reservation for women in elections to cantonment boards."
Mistral · 7B,Executive Summary,19.515,301,776,90,95,100,4.87," Executive Summary:

The Women Reservation Bill has been a recurring topic of discussion in various ministries since 2003. The earliest mentions of the bill were made in the Ministry of Law and Justice in 2003 and 2004. The bill's objective was to ensure women's representation in legislatures and other institutions. In 2010, the Ministry of Panchayat Raj discussed women reservations in Panchayats. In 2015 and 2016, the Ministry of Law and Justice held multiple discussions on the Women Reservation Bill.

In 2019, the Ministry of Human Resource Development discussed women reservation in Central Universities. The following year, in 2020, the Ministry of Law and Justice discussed the bill once again. In 2022, the Ministry of Law and Justice and the Ministry of Women and Child Development held discussions on women reservation in jobs. The most recent mention of the Women Reservation Bill was made in 2023 by the Ministry of Women and Child Development.

The discussions revolved around the importance of women's representation in various institutions and the need to implement the Women Reservation Bill to ensure gender equality and promote women's empowerment. The specifics of the bill, such as the quota percentage and implementation timeline, were not mentioned in the provided data."
Mistral · 7B,Progression Timeline,34.31,539,775,100,100,100,2.91," ```markdown
## Timeline of Women Reservation Policy in India

### Early 2000s
- 2003-04-24: Ministry of Law & Justice, Women Reservation Bill
- 2005-04-20: Ministry of Defence, Reservation for Women in Elections to Cantonment Boards
- 2006-05-18: Ministry of Panchayat Raj, Women Reservation in Panchayats
- 2006-04-21: Ministry of Law & Justice, Reservation for Women in Parliament
- 2007-08-20: Ministry of Law & Justice, Women Reservation Bill
- 2008-04-21: Ministry of Law & Justice, Women Reservation Bill

### 2010s
- 2010-04-26: Ministry of Panchayat Raj, Women Reservations in Panchayats
- 2015-04-23: Ministry of Law and Justice, Women Reservation Bill
- 2016-12-07: Ministry of Law and Justice, Women Reservation Bill
- 2016-11-24: Ministry of Panchayat Raj, Women Reservations in Panchayats
- 2017-12-20: Ministry of Law and Justice, Women Reservation Bill
- 2018-08-08: Ministry of Law and Justice, Women Reservation Bill
- 2019-07-17: Ministry of Law and Justice, Women Reservation Bill
- 2019-06-24: Ministry of Human Resource Development, Women Reservation in Central Universities
- 2021-12-03: Ministry of Law and Justice, Women Reservation Bill

### 2020s
- 2022-03-25: Ministry of Law and Justice, Women Reservation Bill
- 2023-12-08: Ministry of Women and Child Development, Women Reservation in Jobs
- 2024-02-02: Ministry of Law and Justice, Women Reservation
- 2024-07-26: Ministry of Law and Justice, Women Reservation in Legislature
```"
Mistral · 7B,Ministry Engagement,9.151,131,772,100,100,100,10.93," The Ministries engaged in the topic of women reservation are:

1. Ministry of Law and Justice: This ministry has been involved in various women reservation bills and related matters since 2003.
2. Ministry of Panchayat Raj: This ministry has focused on women reservations in panchayats since 2006.
3. Ministry of Human Resource Development: This ministry dealt with women reservation in Central Universities in 2019.
4. Ministry of Women and Child Development: This ministry was involved in women reservation in jobs in 2023."
Mistral · 7B,Policy Gaps,30.573,483,773,100,100,100,3.27," Based on the provided data, the following policy gaps and unresolved issues can be identified:

1. Women Reservation in Legislature, Panchayats, and Local Bodies: There have been numerous discussions and bills related to women reservation in various sectors including legislature, panchayats, and local bodies. However, the implementation of these reservations remains incomplete. The issues of quota implementation, lack of political will, and opposition from certain quarters continue to be unresolved.
2. Women Reservation in Education Institutions: The issue of women reservation in central universities was discussed in 2019, but the outcome of the discussion is not mentioned in the provided data. The implementation of women reservation in other educational institutions also remains a concern.
3. Women Reservation in Jobs: The issue of women reservation in jobs was discussed in 2023 by the Ministry of Women and Child Development, but the status of implementation is not mentioned in the provided data.
4. Women Reservation in Cantonment Boards: The issue of women reservation in elections to cantonment boards was discussed in 2005, but the outcome of the discussion is not mentioned in the provided data.
5. Repeated Discussions: The data shows that there have been numerous discussions and bills related to women reservation over the years. The repetition of these discussions indicates a lack of progress and implementation in this area.
6. Lack of Data on Implementation: The provided data does not mention the status of implementation of women reservation in various sectors. This lack of transparency and accountability hinders progress towards achieving gender equality.

Some of the frequently asked questions based on these records include:

1. What is the current status of women reservation in various sectors such as legislature, panchayats, education institutions, and jobs?
2. Why have there been numerous discussions and bills related to women reservation over the years without significant progress?
3. What are the main challenges to implementing women reservation in various sectors and how can they be addressed?
4. What steps can be taken to ensure transparency and accountability in the implementation of women reservation policies?
5. How can the opposition to women reservation be addressed to ensure gender equality?"
Granite 4.0 · Micro,Executive Summary,13.721,446,602,100,100,100,7.29,"The parliamentary discussions on women reservation have been a recurring theme across various ministries and dates, reflecting the persistent efforts to enhance women's representation in governance. The first notable mention dates back to 2003, with the Women Reservation Bill being introduced in the LAW & JUSTICE ministry, followed by subsequent discussions in 2005, 2006, and 2007, indicating a continuous legislative push. Over the years, the focus has expanded beyond the Parliament to include PANCHAYATI RAJ, where women's reservation in local bodies has been a key topic since 2003, and more recently, HUMAN RESOURCE DEVELOPMENT, which introduced women reservation in central universities in 2019, highlighting the broadening scope of this initiative.

In more recent years, the discourse has intensified, with multiple bills and discussions in 2010, 2015, 2016, 2017, 2018, 2019, and 2021, underscoring the ongoing legislative efforts to ensure gender parity in political representation. The LAW & JUSTICE ministry has been particularly active, with several bills introduced in 2010, 2015, 2016, 2017, 2018, and 2024, demonstrating a strong commitment to this cause. Additionally, the WOMEN AND CHILD DEVELOPMENT ministry has also taken up the issue in 2023, focusing on women's reservation in jobs, indicating a holistic approach to empowering women across various sectors. These consistent discussions across different ministries and over the years reflect a concerted effort to institutionalize women's representation in governance.

The most recent discussions in 2024 further emphasize the evolving nature of this policy, with the LAW & JUSTICE ministry proposing women reservation in the legislature, indicating a potential shift towards more inclusive electoral processes. The inclusion of women reservation in jobs by the WOMEN AND CHILD DEVELOPMENT ministry in 2023 marks a significant step towards broader societal integration. Collectively, these parliamentary discussions illustrate a dynamic and evolving legislative landscape aimed at achieving gender equality through reservation policies. The recurring theme across different ministries and time periods underscores the critical importance of women's representation in decision-making bodies, reflecting a broader societal shift towards inclusivity and equality."
Granite 4.0 · Micro,Progression Timeline,10.609,334,598,100,100,100,9.43,"# Policy Progression Timeline on Women Reservation

## Early Stages
- **24.02.2003**: WOMEN RESERVATION BILL (LAW & JUSTICE)
- **21.07.2003**: RESERVATION FOR WOMEN IN PARLIAMENT (LAW & JUSTICE)

## First Major Developments
- **18.05.2006**: WOMEN RESERVATION IN PANCHAYATS (PANCHAYATI RAJ)
- **20.04.2005**: RESERVATION FOR WOMEN IN ELECTIONS TO CANTONMENT BOARDS (DEFENCE)

## Mid-Stage Developments
- **24.06.2019**: WOMEN RESERVATION IN CENTRAL UNIVERSITIES (HUMAN RESOURCE DEVELOPMENT)
- **24.11.2016**: WOMEN RESERVATIONS IN PANCHAYATS (PANCHAYATI RAJ)
- **07.12.2016**: WOMEN RESERVATION BILL (LAW AND JUSTICE)
- **26.04.2010**: WOMEN RESERVATION (PANCHAYATI RAJ)

## Recent Developments
- **03.12.2021**: WOMEN RESERVATION BILL (LAW AND JUSTICE)
- **25.03.2022**: WOMEN RESERVATION BILL (LAW AND JUSTICE)
- **08.12.2023**: WOMEN RESERVATION IN JOBS (WOMEN AND CHILD DEVELOPMENT)
- **26.07.2024**: WOMEN RESERVATION IN LEGISLATURE (LAW AND JUSTICE)"
Granite 4.0 · Micro,Ministry Engagement,16.144,519,595,90,95,100,5.88,"**Government Ministries Engaged in Women Reservation Policy:**

1. **LAW AND JUSTICE Ministry**
   - Jurisdiction: Primarily responsible for legal frameworks and legislative actions.
   - Specific Responses:
     - Multiple instances of introducing and discussing the Women Reservation Bill (2010, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024).
     - Continued focus on the Women Reservation Bill in the Legislature (2024) and Parliament (2003).
     - Ongoing legislative efforts to reserve seats for women in various legislative bodies.

2. **PANCHAYATI RAJ Ministry**
   - Jurisdiction: Overseeing local governance structures, particularly Panchayats.
   - Specific Responses:
     - Introduced Women Reservations in Panchayats (2016).
     - Continued focus on Women Reservations in Panchayats (2005, 2007).

3. **HUMAN RESOURCE DEVELOPMENT Ministry**
   - Jurisdiction: Concerned with educational policies and institutions.
   - Specific Responses:
     - Introduced Women Reservation in Central Universities (2019).

4. **WOMEN AND CHILD DEVELOPMENT Ministry**
   - Jurisdiction: Focused on welfare and development of women and children.
   - Specific Responses:
     - Introduced Women Reservation in Jobs (2022).

5. **DEFENCE Ministry**
   - Jurisdiction: Military and defense-related policies.
   - Specific Responses:
     - Introduced Reservation for Women in Elections to Cantonment Boards (2005).

6. **WOMEN RESERVATION in Jobs Ministry**
   - Jurisdiction: Specifically addressing women's reservation in employment sectors.
   - Specific Responses:
     - Introduced Women Reservation in Jobs (2022).

**Summary:**
The primary ministries involved in the Women Reservation policy are LAW AND JUSTICE, PANCHAYATI RAJ, HUMAN RESOURCE DEVELOPMENT, WOMEN AND CHILD DEVELOPMENT, and DEFENCE. Each ministry has specific jurisdictions that influence their engagement with women's reservation policies, ranging from legislative frameworks and local governance to educational institutions and employment sectors. The Women Reservation Bill has been a recurring topic across LAW AND JUSTICE, reflecting its central role in national policy discussions. PANCHAYATI RAJ and WOMEN AND CHILD DEVELOPMENT have focused on local governance and welfare aspects, respectively. DEFENCE's involvement highlights the broader societal impact of women's reservation policies, while WOMEN RESERVATION in Jobs Ministry addresses employment equity."
Granite 4.0 · Micro,Policy Gaps,16.847,553,599,100,100,100,5.94,"Policy Gaps identified from the provided data:

1. **Consistency in Reservation Policy Across Legislatures**: The Women Reservation Bill has been proposed and discussed in multiple ministries including LAW AND JUSTICE, PANCHAYATI RAJ, HUMAN RESOURCE DEVELOPMENT, WOMEN AND CHILD DEVELOPMENT, and WOMEN AND CHILD DEVELOPMENT. This indicates a lack of consistent policy across different legislative bodies regarding the reservation of seats for women.

2. **Unclear Implementation Timeline**: There is no clear timeline mentioned for the implementation of the Women Reservation Bill. The dates range from 2003 to 2024, but there is no indication of when the bill was passed, enacted, or when it will be implemented.

3. **Scope of Reservation**: The data does not specify the extent of the reservation. It is unclear whether the reservation is for a fixed number of seats, a percentage of seats, or if it applies to all legislative bodies or only certain ones (like Parliament, State Assemblies, or Panchayats).

4. **Exclusions and Exceptions**: The policy does not mention any exclusions or exceptions to the reservation policy. For instance, it does not specify if certain categories of women are excluded from the reservation or if there are any conditions under which a woman might not be eligible for reservation.

5. **Integration with Other Policies**: The data does not address how the Women Reservation Bill integrates with or interacts with existing policies, such as affirmative action policies for other marginalized groups or existing reservation policies for other demographics.

6. **Public Awareness and Acceptance**: There is no information on public awareness, acceptance, or opposition to the Women Reservation Bill. This is crucial for understanding the potential political feasibility and societal impact of the policy.

7. **Monitoring and Evaluation**: The data does not mention any mechanisms for monitoring the effectiveness of the reservation policy or for evaluating its impact on women's representation in legislative bodies.

8. **Legal and Constitutional Challenges**: There is no mention of any legal or constitutional challenges faced by the Women Reservation Bill. This could indicate either a lack of such challenges or a lack of information on them.

9. **Funding and Resources**: The policy does not address the funding and resources required to implement the reservation policy effectively. This includes administrative costs, training for officials, and any other resources needed to ensure the policy's successful implementation.

10. **Gender Bias and Discrimination**: The policy does not explicitly address potential gender bias or discrimination that might arise from the implementation of the reservation policy. It is unclear whether the policy includes measures to prevent or mitigate such issues.

These gaps highlight areas where further policy development, clarification, and implementation planning are needed to ensure the effective and equitable implementation of the Women Reservation Bill across different legislative bodies."
